Date;Open;High;Low;Last;Close;Number of Shares;Number of Trades;Turnover;vwap
2025-06-23;36,74;37,21;36,7;37,07;37,07;607426;2373;22497389;37,0372
2025-06-20;37,09;37,18;36,83;37,04;37,04;2016577;3643;74685872;37,036
2025-06-19;37,9;37,92;36,9;36,91;36,91;589897;2084;21880058;37,09
2025-06-18;37,7;38,15;37,7;38,03;38,03;735335;2330;27952787;38,0137
2025-06-17;37,96;37,96;37,34;37,53;37,53;668691;2633;25101627;37,5385
2025-06-16;38;38,18;37,74;38,05;38,05;602224;2189;22908573;38,04
2025-06-13;37,84;37,95;37,59;37,82;37,82;612511;2442;23164442;37,8188
2025-06-12;37,95;38,29;37,87;38,22;38,22;546883;2064;20874503;38,17
2025-06-11;37,93;38,16;37,93;38,11;38,11;531116;1985;20221272;38,0732
2025-06-10;38,1;38,27;37,91;37,97;37,97;666584;2352;25346238;38,024
2025-06-09;38,12;38,19;38,01;38,06;38,06;345705;1595;13164649;38,0806
2025-06-06;38,38;38,51;38,08;38,08;38,08;608599;1668;23236094;38,1797
2025-06-05;38,03;38,43;37,98;38,35;38,35;684868;2165;26238907;38,3124
2025-06-04;38,4;38,41;37,7;37,93;37,93;938233;2590;35611348;37,9558
2025-06-03;38,36;38,46;38,19;38,32;38,32;700247;1770;26834426;38,3214
2025-06-02;38,3;38,78;38,1;38,45;38,45;1229398;3322;47207406;38,3988
2025-05-30;38,86;38,98;38,39;38,39;38,39;1524411;2383;58594212;38,4371
2025-05-29;38,86;38,93;38,52;38,79;38,79;440252;1534;17076691;38,7884
2025-05-28;39,04;39,29;38,67;38,83;38,83;838282;2881;32578533;38,8634
2025-05-27;39,44;39,6;39,22;39,29;39,29;560741;2189;22066280;39,3519
2025-05-26;39,51;39,75;39,41;39,57;39,57;704219;2747;27856607;39,5567
2025-05-23;39,59;39,73;38,83;39,59;39,59;1058571;3655;41826207;39,512
2025-05-22;39,22;39,61;39,14;39,61;39,61;605127;2099;23881437;39,4655
2025-05-21;39,17;39,5;39,15;39,43;39,43;891541;2821;35126894;39,4002
2025-05-20;39;39,53;38,86;39,4;39,4;1192533;3937;46807068;39,2502
2025-05-19;38,65;38,93;38,49;38,93;38,93;672863;3060;26098142;38,7868
2025-05-16;38,71;38,92;38,38;38,75;38,75;1110113;5094;42956508;38,6956
2025-05-15;37,77;38,77;37,61;38,57;38,57;1581216;3982;60741201;38,4145
2025-05-14;37;38,84;37;38,23;38,23;1557314;6544;59537954;38,2312
2025-05-13;37,36;37,53;37,18;37,23;37,23;829604;2549;30918572;37,2691
2025-05-12;37,72;38,12;37,3;37,4;37,4;1168695;3023;43901196;37,5642
2025-05-09;37,71;37,94;37,58;37,8;37,8;785588;2574;29684773;37,7867
2025-05-08;37,7;37,78;37,43;37,69;37,69;991021;2753;37327929;37,6661
2025-05-07;37,91;37,91;37,67;37,77;37,77;1219216;3630;46060085;37,7785
2025-05-06;37,95;38,08;37,69;37,95;37,95;1263430;4204;47865728;37,8854
2025-05-05;37,09;37,88;37,02;37,75;37,75;865582;3125;32622818;37,6889
2025-05-02;39;39,27;38,76;39,04;39,04;1280945;4614;49991743;39,027
2025-04-30;38,46;38,71;38,29;38,7;38,7;1028894;3354;39758296;38,6418
2025-04-29;38,2;38,58;38,11;38,29;38,29;817158;2718;31290686;38,2921
2025-04-28;37,96;38,22;37,95;38,11;38,11;931981;3131;35529228;38,1223
2025-04-25;37,88;37,99;37,5;37,77;37,77;786599;3163;29704263;37,7629
2025-04-24;37,61;37,81;37,47;37,76;37,76;662440;2545;24984713;37,7166
2025-04-23;37,81;37,85;37,42;37,62;37,62;964762;3424;36289835;37,6153
2025-04-22;37,34;37,87;37,31;37,54;37,54;686578;3105;25812829;37,5963
2025-04-17;37,32;37,54;37,06;37,34;37,34;641187;3003;23939659;37,3365
2025-04-16;36,86;37,48;36,79;37,45;37,45;968014;3971;36164720;37,3597
2025-04-15;35,65;36,74;35,65;36,74;36,74;1148978;3210;42040439;36,5894
2025-04-14;35,64;35,87;35,5;35,81;35,81;1002583;2824;35859170;35,7668
2025-04-11;35,26;35,48;34,79;35,04;35,04;907864;3016;31860914;35,0944
2025-04-10;36,2;36,3;34,77;34,79;34,79;1372665;3708;48059165;35,0116
2025-04-09;34,35;34,55;33,82;34,34;34,34;1431328;4509;49084937;34,2932
2025-04-08;35,13;35,48;34,66;34,92;34,92;1220600;4106;42671248;34,9592
2025-04-07;34;35,64;33,31;34,53;34,53;2260506;9510;78059072;34,5317
2025-04-04;36,74;36,81;35,23;35,58;35,58;1928369;7115;68937901;35,7493
2025-04-03;36,7;37,11;36,35;37,06;37,06;1071973;3191;39631231;36,9705
2025-04-02;36,75;37,19;36,75;36,99;36,99;1041967;2573;38523960;36,9724
2025-04-01;36,54;37,02;36,45;36,96;36,96;1100584;2448;40630001;36,9171
2025-03-31;36,6;36,73;36,33;36,41;36,41;1208319;3140;44042603;36,4492
2025-03-28;36,82;37,15;36,81;36,91;36,91;697926;2323;25785236;36,9455
2025-03-27;36,27;37,15;36,2;36,99;36,99;977060;3854;36131481;36,9798
2025-03-26;36,34;36,52;36,24;36,43;36,43;767272;2345;27942215;36,4178
2025-03-25;36,17;36,37;36,11;36,37;36,37;739427;2573;26849009;36,3106
2025-03-24;36,12;36,23;35,9;36,04;36,04;688165;2417;24811004;36,0539
2025-03-21;36,11;36,2;35,53;35,88;35,88;2027356;4488;72778552;35,8982
2025-03-20;36,34;36,54;35,89;36,24;36,24;679242;2226;24600160;36,2171
2025-03-19;36,2;36,38;36,06;36,32;36,32;646982;2121;23477524;36,2878
2025-03-18;36,1;36,39;35,99;36,28;36,28;838132;2633;30400040;36,2712
2025-03-17;35,86;36,17;35,82;36,05;36,05;749820;2801;27010188;36,0222
2025-03-14;35,2;36,06;35,08;35,8;35,8;962262;3601;34406956;35,7562
2025-03-13;35,13;35,5;35,1;35,32;35,32;797185;3288;28152982;35,3157
2025-03-12;35,43;35,48;34,98;35,25;35,25;950223;2644;33482301;35,2363
2025-03-11;35,11;35,47;34,94;35,19;35,19;906736;3337;31895749;35,1764
2025-03-10;35,68;35,82;35,02;35,11;35,11;1196453;4859;42143258;35,2235
2025-03-07;36,46;36,49;35,33;35,59;35,59;1453837;4620;51817681;35,6422
2025-03-06;34,52;36,96;34,34;36,66;36,66;2415888;8374;87660512;36,285
2025-03-05;34;35,12;33,84;34,88;34,88;1868416;6401;65021282;34,8001
2025-03-04;33,08;33,55;32,99;33,51;33,51;1225403;3445;40962088;33,4278
2025-03-03;32,94;33,5;32,93;33,22;33,22;1042170;2947;34632961;33,2316
2025-02-28;33,07;33,19;32,91;33,04;33,04;1671965;2094;55253235;33,0469
2025-02-27;32,82;33,05;32,78;33,05;33,05;724486;2859;23905958;32,9971
2025-02-26;32,67;32,88;32,46;32,83;32,83;630466;1813;20682656;32,8053
2025-02-25;32,09;32,74;32,03;32,69;32,69;875748;3128;28576500;32,631
2025-02-24;32,16;32,31;32,11;32,21;32,21;573714;1977;18476459;32,205
2025-02-21;32,3;32,32;31,96;32,08;32,08;799480;3005;25648785;32,082
2025-02-20;32,21;32,33;32,1;32,2;32,2;621685;2289;20022107;32,2062
2025-02-19;32,39;32,48;31,93;32,06;32,06;726434;2325;23310337;32,0887
2025-02-18;32,34;32,47;32,1;32,36;32,36;797300;2398;25757549;32,306
2025-02-17;32,24;32,39;32,14;32,38;32,38;544094;1770;17604483;32,3556
2025-02-14;32,09;32,32;31,99;32,29;32,29;568477;1676;18337915;32,258
2025-02-13;31,9;32,36;31,9;32,17;32,17;1079076;3881;34718156;32,1739
2025-02-12;31,4;31,71;31,34;31,64;31,64;670353;2523;21203505;31,6304
2025-02-11;31,36;31,56;31,32;31,32;31,32;588411;1616;18448183;31,3525
2025-02-10;31,5;31,61;31,18;31,32;31,32;735875;2258;23057530;31,3335
2025-02-07;31,46;31,73;31,41;31,47;31,47;678211;2525;21360085;31,4947
2025-02-06;30,93;31,31;30,88;31,26;31,26;737929;2250;23045383;31,2298
2025-02-05;30,96;31,05;30,75;30,94;30,94;655651;2037;20256935;30,8959
2025-02-04;30,64;31,15;30,44;31,01;31,01;1161991;2844;35992137;30,9745
2025-02-03;30,01;30,72;30;30,68;30,68;794044;2820;24263780;30,5572
2025-01-31;30,67;30,84;30,43;30,63;30,63;621096;1872;19025930;30,6328
2025-01-30;30,5;30,77;30,38;30,64;30,64;684729;1585;20984641;30,6466
2025-01-29;30,58;30,6;30,25;30,5;30,5;632292;1596;19272154;30,4798
